
BBCA,46.453,8.350,8.375,21.694,2025-12-02 15:46:44
BBCA,25.007,8.325,8.400,16.412,2025-12-02 15:46:44
BBCA,27.265,8.300,8.425,54.567,2025-12-02 15:46:44
BBCA,30.712,8.275,8.450,54.521,2025-12-02 15:46:44
BBCA,23.660,8.250,8.475,56.069,2025-12-02 15:46:44
BBCA,10.990,8.225,8.500,83.256,2025-12-02 15:46:44
BBCA,21.059,8.200,8.525,18.225,2025-12-02 15:46:44
BBCA,3.774,8.175,8.550,46.455,2025-12-02 15:46:44
BBCA,3.561,8.150,8.575,11.339,2025-12-02 15:46:44
BBCA,1.864,8.125,8.600,46.781,2025-12-02 15:46:44
BBCA,48.747,8.350,8.375,22.504,2025-12-02 15:51:53
BBCA,25.043,8.325,8.400,17.601,2025-12-02 15:51:53
BBCA,27.278,8.300,8.425,54.272,2025-12-02 15:51:53
BBCA,30.456,8.275,8.450,53.600,2025-12-02 15:51:53
BBCA,23.964,8.250,8.475,55.759,2025-12-02 15:51:53
BBCA,10.990,8.225,8.500,83.468,2025-12-02 15:51:53
BBCA,21.122,8.200,8.525,17.932,2025-12-02 15:51:53
BBCA,3.764,8.175,8.550,46.450,2025-12-02 15:51:53
BBCA,3.561,8.150,8.575,11.049,2025-12-02 15:51:53
BBCA,1.864,8.125,8.600,46.781,2025-12-02 15:51:53
BBCA,50.082,8.350,8.375,23.274,2025-12-02 15:56:55
BBCA,24.895,8.325,8.400,18.268,2025-12-02 15:56:55
BBCA,27.392,8.300,8.425,54.084,2025-12-02 15:56:55
BBCA,30.503,8.275,8.450,57.532,2025-12-02 15:56:55
BBCA,24.021,8.250,8.475,55.760,2025-12-02 15:56:55
BBCA,10.994,8.225,8.500,83.668,2025-12-02 15:56:55
BBCA,23.133,8.200,8.525,17.882,2025-12-02 15:56:55
BBCA,3.776,8.175,8.550,46.250,2025-12-02 15:56:55
BBCA,3.524,8.150,8.575,11.024,2025-12-02 15:56:55
BBCA,1.864,8.125,8.600,46.778,2025-12-02 15:56:55
BBCA,48.166,8.350,8.375,24.037,2025-12-02 16:01:58
BBCA,25.563,8.325,8.400,19.960,2025-12-02 16:01:58
BBCA,27.450,8.300,8.425,53.400,2025-12-02 16:01:58
BBCA,30.844,8.275,8.450,57.623,2025-12-02 16:01:58
BBCA,24.207,8.250,8.475,55.682,2025-12-02 16:01:58
BBCA,10.994,8.225,8.500,83.306,2025-12-02 16:01:58
BBCA,23.182,8.200,8.525,17.884,2025-12-02 16:01:58
BBCA,3.766,8.175,8.550,46.248,2025-12-02 16:01:58
BBCA,3.524,8.150,8.575,11.024,2025-12-02 16:01:58
BBCA,1.864,8.125,8.600,46.782,2025-12-02 16:01:58
BBCA,53.468,8.350,8.375,25.941,2025-12-02 16:07:02
BBCA,28.197,8.325,8.400,22.119,2025-12-02 16:07:02
BBCA,27.622,8.300,8.425,53.132,2025-12-02 16:07:02
BBCA,30.918,8.275,8.450,57.567,2025-12-02 16:07:02
BBCA,24.307,8.250,8.475,55.595,2025-12-02 16:07:02
BBCA,10.977,8.225,8.500,83.282,2025-12-02 16:07:02
BBCA,23.162,8.200,8.525,17.932,2025-12-02 16:07:02
BBCA,3.751,8.175,8.550,46.258,2025-12-02 16:07:02
BBCA,3.524,8.150,8.575,11.024,2025-12-02 16:07:02
BBCA,1.864,8.125,8.600,46.772,2025-12-02 16:07:02
BBCA,50.464,8.350,8.375,24.508,2025-12-02 16:12:05
BBCA,31.805,8.325,8.400,22.470,2025-12-02 16:12:05
BBCA,27.895,8.300,8.425,52.577,2025-12-02 16:12:05
BBCA,30.953,8.275,8.450,57.414,2025-12-02 16:12:05
BBCA,24.310,8.250,8.475,55.595,2025-12-02 16:12:05
BBCA,10.977,8.225,8.500,83.267,2025-12-02 16:12:05
BBCA,23.162,8.200,8.525,17.882,2025-12-02 16:12:05
BBCA,3.751,8.175,8.550,46.173,2025-12-02 16:12:05
BBCA,3.524,8.150,8.575,11.024,2025-12-02 16:12:05
BBCA,1.868,8.125,8.600,46.773,2025-12-02 16:12:05
BBCA,52.861,8.350,8.375,23.477,2025-12-02 16:17:26
